15c,15 Degrees C
amsterdam,amsterdam
adas,adas fish house
adas,adas
amyjaime,amy and jaime
antigua,antigua brewery
antigua,antigua
applefarm,apple farm
aronhill,aron hill
ascendo,ascendo
ascendoosos,ascendo Osos
bpb,back porch Extras
bpcafe,back porch kitchen
backbay,back bay cafe
backporch,back porch cafe
banner,banner
banner,banner coffee company
bapjo,bap jo
bear,bear and wren
bear,bear and then wren
bcsocial,bear city social
beda,bedas
bigsky,big sky
bigsky,big sky cafe
bijou,bijou
bijou,bijou bakery
blast,blast taproom
heron,blue heron
bluemoon,blue moon
bluemoon,blue moon Avila
bluemoon,blue moon over Avila
booker,booker
booker,booker winery
giant,broad street grinder
broken,broken earth
broken,broken earth winery
brunch,brunch
buffalo,buffalo pub
buffalo,buffalo
burrito,burrito wagon
buttercup,buttercup
andreini,cafe andreini
andreini,andreini
fiero,cafe fiero
fiero,fiero
roma,cafe roma
calipaso,calipaso
calipaso,calipaso winery
caliwala,caliwala
caliwala,caliwala market
cambriacoffee,cambria coffee
castoro,castoro
castoro,castoro cellars
cencal,cencal coffee
ccb,central coast brewing
cccream,central coast creamery
cider,cider bar 
cpr,coastal peaks
cpr,coastal peaks roaster
colony,colony
colony,colony market
nelle,nelle winery
nelle,cordant nelle
corner,cornercopia
covpres,covenant pres
creston,creston house
croad,croad vineyard
croad,croad winery
daou,daou winery
daou,daou vineyards
danoir,danoir
district,district Deli
earthblue,earth blue
eclair,mule bakery
eclair,eclair
eclair,eclair bakery
elks,elks
elks,elks club
embassy,embassy suites slow
etto,etto
etto,etto pasta
farmhouse,farmhouse
fivestar,five star catering
lolas,frankie and lolas
french,french hospital
fuego,fuego
fullbelly,full belly
fullbelly,full belly Deli
funkyard,funkyard
funkyard,di raimondos
gardens,gardens of Avila
garykramer,gary kramer
tides,good tides
granada,granada
granada,granada bistro
halfway,halfway station
halter,halter ranch
harmony,harmony cafe
hvcream,harmony creamery
hvcream,harmony valley creamery
harvest,harvest natural
hatch,hatch
hatch,hatch rotisserie
haute,hot skillet
heirloom,heirloom
heirloom,heirloom catering
high,high street Deli
high,high strett slow
hios,high street Osos
hios,osos high street
hightide,high tide 
hightide,high tide deli
honey,honeymoon
honey,honeymoon cafe
cerro,hotel cerro
hotelslo,hotel slow
hugamug,hug a mug
hum,humdinger
corte,il cortile
indigo,indigo moon
joemo,joe mammas
joebella,joebella
justbaked,just baked
justbaked,just baked slow
justindt,justin down town
justin,justin winery
kincoffee,kin one
kincoffee,kin downtown
kin2,kin town
kin2,kin uptown
kit,kitchenette
blue,blue
blue,koberl
blue,koberl at blue
krakbon,kraken Bonetti
krakbon,krak Bon
krakav,kraken avila 
krakpis,kraken pismo 
kberg, Kreuzberg
kberg, kroits berg 
lafonda,la fonda
lafonda,la fonda inn
lafonda,la fonda hotel
lomita,la lomita
lomita,la lomita ranch
ladonna,ladonnas
cuvier,le cuvier
cuvier,le cuvier winery
leftbank,left bank
leftbank,left bank cafe
lib,libertine
lib,libertine brewery
lib,libertine cafe
lincoln,lincoln
lincoln,lincoln market
linn,linnaeas
linn,linnaeas cafe
liktc,linnaeas kitchen
longbranch,long branch
lucy,lucys
luna,luna
luna,luna Red
manny,mannys dime
mcphee,mcphees
merryhill,merryhill
mile,milestone
mindbody,mindbody
mint,mint craft
mint,mint and craft
mint,mint
nates,nates
nates,nates on marsh
nautical,nautical cowboy
acai,neighborhood acai
acai,neighborhood paso
acaislo,neighborhood slow
niner,niner
niner,niner winery
novo,novo
nucci,nuccis
onx,onx winery
otter,oak and otter
kohi,oki kohi
oki,oki momo
olivas,olivas de oro
openrange,open range catering
oxford,oxford suites
oxford,oxford suites paso
pairing,pairing knife 
parrish,parrish vineyard
pasowine,paso wine merchant
perfetto,perfetto
perfetto,perfetto cafe
petit,petit soleil
pizzarep,pizza republic
puffer,puffers
puffer,puffers of pismo
redbee,red bee 
scooter,red scooter
scooter,red scooter deli
robins,robins
rockmb,rock espresso bar
ruby,ruby cellars
slorock,slo brew rock
slofinest,slows finest
slonat,slow natural
slopro,slow pro 
slopro,slow provisions
sally,sally Loos
sando,sandos
sando,emilio
sando,sandos deli
smtp,santa maria tri tip 
scout1,scout downtown
scout1,scout one
scout1,scout gardens
scout2,scout town
scout2,scout foothill
scoutcp,scout cal poly
scoutcp,cal poly scout
venture,sea venture
seven,seven sisters
shekamoo,shekamoo
shekamoo,shekamoo grill
sidecar,sidecar
sotos,sotos
sotos,sotos market
sotos,sotos true earth
springhill,springhill marriot
4cats,four cats 
sweetlews,sweet lews
tad,tad
tempmerc,templeton mercantile
tempmerc,pig iron
cliffs,the cliffs
olde,olde alehouse
patio,patio kitchen
picoteo,picoteo 
prancing,prancing chef
salty,salty brigade
thill,thomas hill
thill,thomas hill organic
canteen,tin canteen
tooth,tooth and nail 
trumpet,trumpet vine 
trumpet,trumpet vine catering
vinevents,vineyard events
vista,vista steak and seafood
vivant,vivant
whodeli,whole foods deli
whole,whole foods
whole,whole foods market
wild,wild fields
wild,wild fields brewery
windows,windows
windows,windows on the water
wren,wren
wren,wren catering
ifixit,I fix it 
cosecha,la cosecha